Execuation time 01 - CM vector parsing: 59.221349000930786 sec.
Execuation time 02 - Property parsing: 1.7831768989562988 sec.
Execuation time 03 - Fold parsing: 143.9942672252655 sec. 
Execuation time 04 - Reindex: 1.6981697082519531 sec. 

--- Training and Testing BR ---

 Prop_Id      MAE      Time_Train  Time_Test
       0    0.84413750     131.03       0.28
       1    1.33315647     109.20       0.28
       2    0.33752462      96.75       0.11
       3    0.63145903     113.89       0.22
       4    0.72278386     112.22       0.25
       5   55.51211189     104.73       0.30
       6    0.02646970     114.23       0.12
       7    0.91071408     102.51       0.12
       8    0.91190048     104.44       0.11
       9    0.91197207      97.95       0.12
      10    0.90933525     113.06       0.26
      11    0.90623131     110.53       0.26
      12  131.43647496     105.67       0.23
